age,married,ind,baplus,topincome
25,0,7071,0,0
57,1,3380,1,0
46,1,7860,1,0
58,1,6670,1,0
48,1,7870,1,0
43,1,4795,0,0
46,1,7290,0,0
51,1,7580,0,0
50,0,6490,0,0
44,1,7380,0,0
50,1,7290,0,0
34,1,7380,0,0
46,1,3960,0,0
68,1,7860,0,0
54,1,6970,0,0
39,1,5190,0,0
51,1,7860,0,0
67,0,9190,1,0
62,1,7380,1,0
48,1,4770,0,0
49,1,3390,0,0
59,0,7270,0,0
53,0,7870,1,0
33,1,7071,0,0
56,1,7870,1,0
55,1,2070,1,0
28,0,6570,0,0
65,1,6070,0,0
26,0,7460,0,0
62,1,8370,1,0
50,0,2890,0,0
63,1,770,0,0
52,1,9470,1,0
39,1,490,0,0
60,0,6570,0,0
40,1,7390,0,0
61,1,7860,1,0
30,1,2480,0,0
36,1,3490,0,0
36,1,7380,1,0
62,0,7380,1,0
65,1,8370,0,0
68,0,7860,0,0
39,1,9370,0,0
42,1,7390,0,0
41,0,6672,0,0
46,1,590,0,0
32,1,7870,0,0
53,0,6670,0,0
58,1,9370,1,0
47,1,8090,1,0
47,0,7860,0,0
35,1,4795,0,0
44,1,7390,1,0
44,1,7280,0,0
28,0,7071,0,0
33,1,9470,0,0
28,0,7980,0,0
28,0,6970,0,0
55,0,9570,1,0
30,0,7380,0,0
34,0,7860,1,0
27,1,6490,0,0
50,1,6890,0,0
29,0,7580,0,0
56,0,7870,1,0
39,1,9470,0,0
26,0,7870,0,0
30,0,9770,0,0
57,0,8370,1,0
49,0,6890,0,0
38,1,3960,1,0
40,1,9480,0,0
47,1,170,0,0
68,1,7280,0,0
43,0,7460,0,0
55,1,9490,1,0
53,0,3770,0,0
52,1,1080,0,0
49,0,8170,0,0
28,0,770,0,0
66,1,6380,0,0
31,1,9480,1,0
32,1,6672,1,0
45,1,3291,0,0
40,1,3390,0,0
64,1,7870,1,0
29,0,4770,1,0
44,1,6490,1,0
49,1,7380,0,0
39,1,7380,1,0
45,0,7860,0,0
61,1,770,0,0
53,1,7860,0,0
48,1,6480,1,0
30,1,7860,1,0
63,0,7870,0,0
63,0,6570,0,0
62,1,5070,1,0
44,1,7470,0,0
55,1,6380,0,0
31,0,6890,1,0
38,1,7870,0,0
40,1,6080,0,0
27,0,7380,0,0
42,1,8180,0,0
40,1,4470,0,0
27,0,6890,0,0
43,0,3390,0,0
34,1,3580,0,0
37,1,7380,0,0
37,1,7580,0,0
58,1,7380,0,0
33,1,6992,0,0
32,1,7270,0,0
45,1,8191,0,0
36,1,9370,0,0
60,1,4170,0,0
30,0,3980,0,0
62,1,7860,1,0
33,1,7470,0,0
31,1,7860,1,0
28,0,8590,0,0
35,1,7071,1,0
48,1,5070,1,0
62,1,7570,0,0
55,1,8180,1,0
36,1,4971,0,0
28,1,9160,0,0
31,1,8090,1,0
40,0,7390,0,0
50,1,3380,0,0
41,1,770,0,0
40,0,6870,0,0
41,1,7860,1,0
39,1,6290,0,0
46,1,7770,0,0
50,0,4870,0,0
55,1,7860,1,0
32,1,6180,0,0
28,0,6570,0,0
29,0,7280,0,0
49,0,8660,0,0
43,1,4990,0,0
44,1,3960,0,0
46,1,9590,1,0
27,0,8660,1,0
39,0,8090,1,0
47,1,9370,1,0
32,0,7280,0,0
33,1,7380,1,0
29,1,5391,0,0
70,1,770,1,0
60,1,9080,0,0
66,0,9370,0,0
52,1,7380,1,0
59,1,9190,0,0
30,0,7390,0,0
41,1,3960,1,0
37,1,770,0,0
30,0,7590,0,0
55,1,7860,1,0
36,1,3990,1,0
63,1,9470,0,0
65,0,7071,0,0
33,1,2190,1,0
59,1,9370,0,0
51,1,6695,0,0
25,0,4390,0,0
35,1,7390,0,0
30,0,9690,0,0
49,1,5593,1,0
63,0,9490,0,0
42,1,9470,1,0
36,0,6890,0,0
43,0,9480,0,0
28,0,8590,0,0
49,1,7380,0,0
67,0,8561,0,0
56,1,7860,1,0
52,0,3390,0,0
53,0,8680,0,0
57,0,8370,1,0
58,1,770,0,0
38,0,8170,0,0
29,0,6290,1,0
35,1,7370,0,0
50,1,7380,0,0
57,0,3580,0,0
47,1,7380,1,0
59,0,2190,0,0
45,0,7380,0,0
55,1,9370,0,0
25,0,7890,0,0
32,1,6870,0,0
35,1,9370,0,0
64,0,8290,0,0
33,0,9670,0,0
46,1,7860,1,0
67,1,8660,0,0
46,1,9370,0,0
45,1,4080,0,0
52,1,7870,0,0
39,1,4795,0,0
60,1,3390,0,0
50,0,3390,1,0
26,0,7270,0,0
47,0,7380,0,0
48,0,8180,0,0
48,0,6890,0,0
68,1,7970,0,0
60,0,7380,1,0
65,1,6670,0,0
28,0,6970,0,0
31,0,9590,0,0
29,1,9470,0,0
58,1,7071,0,0
66,1,7380,0,0
59,1,6290,1,0
60,1,9470,0,0
27,0,6370,0,0
49,1,9170,0,0
51,1,9370,0,0
42,1,7380,1,0
31,0,7860,1,0
26,0,4980,0,0
38,1,3590,1,0
28,1,8090,1,0
34,1,7870,1,0
42,1,7870,0,0
61,1,7480,1,0
48,1,6695,0,0
45,1,7860,0,0
29,0,9770,0,0
53,0,9370,1,0
60,0,8170,0,0
57,0,6670,0,0
26,1,9690,0,0
70,1,3291,1,0
62,1,4195,0,0
57,1,8370,0,0
32,0,8660,1,0
49,1,7280,0,0
59,1,7790,0,0
49,1,7270,0,0
57,0,7380,1,0
70,1,8660,0,0
59,1,9160,0,0
58,1,3580,1,0
49,0,4770,0,0
36,1,7290,1,0
28,0,7770,0,0
33,1,8191,0,0
44,1,7860,1,0
58,0,3380,1,0
52,1,2670,0,0
34,1,6991,1,0
37,0,6970,1,0
61,0,3580,0,0
44,1,8191,1,0
65,0,7290,0,0
57,1,3365,0,0
37,1,3570,0,0
63,0,9470,1,0
52,1,7460,1,0
45,1,9470,1,0
46,0,7290,1,0
49,1,7290,1,0
36,0,6680,0,0
36,1,7270,1,0
53,0,6970,0,0
29,0,7860,1,0
37,1,7390,0,0
46,0,8660,0,0
45,0,9370,0,0
36,1,6870,1,0
58,1,6970,0,0
51,0,2190,1,0
48,0,4390,0,0
34,1,3390,0,0
57,1,7860,1,0
36,0,770,1,0
29,1,7380,0,0
30,0,8191,0,0
42,1,9470,1,0
45,0,3990,0,0
47,1,6870,0,0
29,1,4270,0,0
58,0,1180,1,0
63,1,7870,0,0
27,0,3590,0,0
57,1,7380,1,0
52,0,6770,0,0
41,1,4090,0,0
39,0,180,1,0
62,1,7860,0,0
51,1,3291,0,0
40,1,6290,0,0
50,1,7860,0,0
51,1,4090,1,0
33,0,9480,0,0
52,0,9480,0,0
47,1,3990,0,0
34,1,8370,1,0
42,1,6780,1,0
31,0,8680,0,0
28,0,7870,1,0
26,0,8191,1,0
25,0,8191,1,0
27,0,4795,0,0
27,0,9680,0,0
38,1,4470,0,0
60,1,3380,1,0
35,1,9480,1,0
60,0,6870,0,0
29,0,7390,0,0
58,1,3390,1,0
25,0,8590,0,0
29,0,7870,0,0
52,1,1170,1,0
49,1,2190,0,0
34,0,7270,0,0
61,1,7290,0,0
45,1,170,0,0
59,1,7390,0,0
35,1,8191,1,0
60,1,8590,0,0
52,0,7380,0,0
55,1,8590,0,0
49,1,3960,1,0
33,1,6970,0,0
43,1,9470,0,0
47,1,6890,0,0
68,0,2290,0,0
50,1,6991,0,0
30,0,5593,0,0
58,1,7780,0,0
42,1,6670,0,0
42,1,6570,1,0
28,0,6570,1,0
47,0,7860,1,0
51,1,6570,0,0
57,1,7860,0,0
36,1,4580,0,0
43,1,6991,0,0
33,0,7270,1,0
48,1,3960,0,0
64,1,7380,0,0
38,1,7290,0,0
34,1,7270,1,0
30,1,7860,1,0
59,1,6490,1,0
68,0,4170,0,0
51,1,9470,0,0
49,1,590,0,0
57,0,7860,1,0
45,0,6670,0,0
62,1,7860,1,0
41,0,7270,1,0
49,1,7071,0,0
40,1,6490,0,0
39,1,6570,1,0
47,0,7860,1,0
66,1,8270,1,0
65,1,9480,0,0
56,1,8680,0,0
45,1,7860,0,0
38,1,6290,0,0
61,1,7860,0,0
32,1,8562,0,0
32,1,8191,0,0
38,0,7380,0,0
68,1,7290,1,0
54,1,8660,0,0
39,0,7860,1,0
47,1,7860,1,0
66,1,7870,1,0
55,1,7380,1,0
36,1,3365,0,0
35,1,7490,0,0
43,1,7970,1,0
55,0,4870,0,0
63,0,7870,1,0
26,0,8090,0,0
66,0,7380,1,0
45,1,9690,1,0
58,0,4070,0,0
32,1,7380,0,0
34,1,3390,0,0
57,1,4980,0,0
32,1,8680,1,0
44,1,770,1,0
50,0,7071,1,0
43,1,6870,0,0
58,0,7390,0,0
40,1,7380,1,0
27,0,6670,0,0
62,1,7071,0,0
56,1,4470,0,0
36,1,7460,0,0
35,1,7460,1,0
48,1,7870,1,0
33,1,7460,1,0
29,0,3390,0,0
50,0,7890,0,0
33,1,770,1,0
51,0,2190,1,0
35,1,8770,1,0
59,0,7380,1,0
36,0,7460,1,0
62,1,1370,0,0
41,0,6870,0,0
25,0,7390,0,0
45,1,9390,1,0
41,1,3960,0,0
26,0,6290,0,0
47,1,9480,1,0
49,1,770,0,0
25,0,7680,0,0
67,1,3380,0,0
35,1,8191,1,0
54,1,3370,0,0
50,1,7870,1,0
61,1,3390,0,0
44,1,7380,0,0
26,0,7860,0,0
30,1,7380,1,0
29,0,7290,0,0
25,0,9470,1,0
25,0,770,0,0
49,0,3380,0,0
44,1,4990,0,0
32,0,7380,0,0
55,1,770,0,0
36,1,7280,0,0
51,1,8191,0,0
46,1,6570,0,0
31,1,7970,1,0
47,1,670,1,0
43,1,9470,0,0
33,1,6290,0,0
41,1,7390,0,0
48,1,8590,0,0
34,1,3390,0,0
46,0,7860,0,0
37,0,7370,1,0
59,1,6290,0,0
29,0,9470,1,0
34,1,7390,0,0
52,1,7071,0,0
35,1,3390,1,0
46,1,9170,0,0
31,1,6490,1,0
63,1,7860,1,0
39,1,570,0,0
39,1,6480,0,0
31,1,7390,0,0
38,0,6070,0,0
44,1,7460,0,0
50,1,7870,1,0
41,1,190,1,0
37,1,7071,0,0
47,1,4470,0,0
31,0,7380,1,0
36,1,9160,0,0
63,1,6991,0,0
57,1,7380,1,0
54,1,770,0,0
44,0,6870,0,0
52,0,5790,0,0
27,0,8680,0,0
36,1,6480,0,0
26,0,3291,0,0
54,1,5580,0,0
49,1,8191,0,0
32,0,7460,0,0
41,1,3390,1,0
28,0,8180,0,0
69,1,7860,1,0
47,1,9790,0,0
58,1,9180,0,0
29,1,7071,1,0
29,1,8563,0,0
64,1,6380,0,0
31,0,6991,0,0
49,1,9370,1,0
32,0,7080,0,0
31,1,3960,1,0
39,1,2770,0,0
32,1,7380,0,0
61,0,5080,0,0
51,1,7860,1,0
54,1,9170,0,0
34,0,8680,1,0
40,1,5593,0,0
64,1,7290,0,0
26,0,8191,0,0
38,0,4590,1,0
58,0,7071,0,0
38,1,9470,0,0
48,1,6290,0,0
63,0,7470,0,0
57,1,7470,0,0
41,1,4971,1,0
28,1,6290,0,0
35,1,7580,0,0
42,1,9490,0,0
34,1,9470,1,0
29,0,7270,1,0
39,1,770,0,0
58,1,6890,0,0
56,1,8370,1,0
64,1,570,1,0
58,0,7860,0,0
57,1,7870,1,0
51,0,7870,1,0
39,0,4980,0,0
50,0,3960,0,0
47,0,7970,0,0
34,0,7390,1,0
35,0,8680,0,0
63,1,4170,0,0
56,1,7071,0,0
35,0,770,0,0
53,1,7870,1,0
49,1,8090,1,0
34,1,7380,1,0
31,0,7280,0,0
29,0,3580,1,0
36,1,6970,0,0
64,1,8680,1,0
52,1,8670,1,0
47,0,6680,1,0
41,1,7860,1,0
52,1,7860,0,0
49,1,8570,0,0
52,1,1080,0,0
56,1,9470,1,0
29,0,8590,0,0
46,0,7860,1,0
55,1,7380,1,0
27,0,7080,0,0
27,0,7380,0,0
52,1,8370,1,0
38,0,6570,0,0
30,0,6690,0,0
50,1,7380,0,0
56,1,3580,1,0
69,1,8070,1,0
61,1,3095,0,0
57,1,8290,1,0
50,1,4670,0,0
51,1,3390,0,0
58,1,7280,1,0
44,1,3390,0,0
38,1,9170,0,0
44,1,7860,1,0
54,1,9370,1,0
29,0,190,0,0
43,1,5180,1,0
59,0,7870,1,0
36,1,3960,1,0
66,1,7870,1,0
60,1,7290,0,0
40,1,770,0,0
52,1,7770,1,0
35,1,5275,0,0
54,1,7570,0,0
50,1,9470,0,0
29,0,7290,0,0
27,0,3490,0,0
53,1,9470,0,0
38,1,770,0,0
28,0,170,0,0
60,1,7570,0,0
26,0,4770,0,0
47,1,7290,1,0
47,1,7380,0,0
29,1,6970,0,0
30,0,5381,0,0
33,1,7460,1,0
50,1,6890,0,0
55,1,3370,1,0
47,0,290,1,0
58,0,6991,1,0
33,1,6670,1,0
28,1,6890,0,0
58,1,8660,0,0
44,1,7860,1,0
32,0,7380,1,0
26,0,770,1,0
57,1,9160,1,0
26,1,9770,0,0
56,0,7680,1,0
33,1,770,0,0
42,0,7860,0,0
53,1,6570,0,0
35,1,7870,1,0
63,1,3580,1,0
38,1,6970,1,0
26,0,7860,0,0
27,0,7290,0,0
31,0,7890,0,0
49,1,9570,0,0
56,0,9160,1,0
60,0,7670,0,0
32,1,7870,1,0
42,1,3570,0,0
52,1,3580,0,0
39,0,7860,1,0
52,1,7460,1,0
50,1,6991,0,0
52,1,570,1,0
31,0,8680,0,0
57,0,8660,0,0
46,1,4971,0,0
35,1,7290,0,0
44,1,9170,1,0
29,0,6870,0,0
47,1,7380,1,0
37,1,7380,1,0
38,0,6870,1,0
35,1,9160,1,0
63,1,3380,1,0
60,1,8191,1,0
34,1,9770,1,0
63,1,3390,0,0
31,1,7870,0,0
55,1,7870,1,0
38,1,8080,0,0
34,0,9390,1,0
41,1,9090,0,0
59,1,8370,1,0
36,1,770,0,0
43,0,2190,0,0
65,1,8191,0,0
27,0,7290,0,0
57,1,7870,1,0
31,1,3490,0,0
33,1,9680,1,0
54,1,7380,1,0
62,1,8180,0,0
52,0,4870,0,0
49,1,3370,1,0
29,1,7860,0,0
49,1,5275,0,0
59,1,9590,1,0
70,1,7870,1,0
27,0,8570,0,0
42,1,7860,1,0
50,1,7380,0,0
27,1,770,0,0
55,1,4585,0,0
31,1,770,0,0
50,1,6570,0,0
28,0,8680,0,0
29,0,7380,0,0
48,0,7860,1,0
25,0,9290,0,0
41,1,4470,1,0
59,1,7860,0,0
63,0,3390,0,0
38,1,770,0,0
53,0,8590,1,0
49,1,8180,0,0
47,1,170,0,0
48,1,7390,0,0
38,1,7870,1,0
33,0,4170,1,0
50,0,7870,1,0
52,1,7870,1,0
43,1,5580,0,0
27,1,7870,1,0
30,1,770,0,0
45,1,6991,0,0
32,0,8590,1,0
35,0,3580,1,0
50,1,6170,1,0
66,1,9480,0,0
37,1,2190,1,0
59,0,570,1,0
43,0,7460,0,0
42,1,6870,0,0
61,1,3390,1,0
37,1,770,0,0
31,1,9170,1,0
48,1,6490,1,0
53,0,6070,0,0
58,1,7860,1,0
48,0,6890,0,0
26,0,7870,0,0
44,1,8090,0,0
27,1,7870,1,0
35,1,370,0,0
49,0,7380,0,0
37,0,6890,0,0
42,1,4971,0,0
50,1,6992,0,0
68,1,7460,0,0
32,1,8590,0,0
38,1,4380,1,0
47,1,7380,0,0
37,1,5170,0,0
33,1,8680,0,0
27,0,9190,0,0
32,1,6070,0,0
33,0,8680,0,0
42,0,8680,0,0
57,1,6870,0,0
54,0,5593,0,0
55,1,5680,0,0
38,0,7380,1,0
43,1,8191,0,0
34,1,7390,1,0
27,0,5170,0,0
48,1,6890,0,0
60,1,3960,0,0
62,1,9470,1,0
27,1,7860,1,0
60,1,2190,1,0
26,1,6290,0,0
51,1,7071,0,0
47,1,7870,1,0
37,1,8191,1,0
53,1,7290,1,0
26,0,7280,0,0
42,1,8590,0,0
49,1,7860,1,0
26,1,170,0,0
51,1,7860,1,0
46,1,3580,1,0
62,0,7270,1,0
43,0,6672,0,0
35,1,4390,1,0
46,1,8090,1,0
52,1,7290,1,0
42,1,6070,1,0
70,1,6992,0,0
37,1,9590,1,0
35,1,8680,0,0
56,1,3390,1,0
36,0,690,0,0
38,0,8680,0,0
40,1,8680,1,0
30,1,9680,0,0
45,1,3390,1,0
36,0,8680,1,0
63,1,170,0,0
56,1,3365,0,0
43,1,8090,0,0
65,0,6890,0,0
25,0,7071,0,0
25,0,7380,0,0
29,1,9780,0,0
39,1,4971,0,0
35,1,7071,0,0
45,1,3580,1,0
42,1,6970,0,0
38,0,2190,0,0
65,1,6190,0,0
42,1,7860,1,0
47,1,6870,0,0
33,1,8570,0,0
45,1,7290,0,0
50,1,9570,0,0
59,1,7290,0,0
60,0,3170,0,0
43,1,6870,0,0
43,1,770,0,0
29,0,6890,0,0
41,0,7270,1,0
58,1,7860,0,0
29,0,5080,1,0
28,0,7860,1,0
30,1,6672,0,0
25,0,1990,0,0
65,1,7870,1,0
41,1,7270,1,0
47,1,3390,1,0
32,0,7860,0,0
34,1,6672,1,0
52,1,6992,0,0
43,1,5593,0,0
33,0,4780,0,0
25,0,6870,0,0
60,1,9470,1,0
28,0,7290,0,0
53,1,770,0,0
37,1,3960,0,0
27,0,7380,0,0
43,1,3390,0,0
55,1,1490,0,0
41,1,6970,1,0
61,0,3291,0,0
63,0,9370,1,0
53,1,770,0,0
48,1,6390,1,0
57,1,3960,0,0
57,1,6570,0,0
54,0,6180,0,0
64,1,7470,0,0
52,0,3095,1,0
51,1,9160,0,0
38,0,7860,0,0
50,1,7270,1,0
49,1,7860,1,0
35,1,7870,0,0
27,1,7580,1,0
62,1,590,0,0
54,1,2270,1,0
46,1,7380,1,0
68,1,6290,1,0
38,1,6490,0,0
58,1,5391,0,0
41,1,6570,0,0
34,1,6570,0,0
35,0,7270,1,0
40,1,6870,0,0
58,1,5593,1,0
36,0,8770,0,0
32,1,9160,0,0
29,0,7380,1,0
50,1,7860,0,0
55,1,9570,0,0
32,0,9370,0,0
56,1,7380,0,0
33,0,9090,0,0
28,0,8660,0,0
37,0,6890,0,0
30,0,9690,0,0
59,1,8191,1,0
59,1,6490,1,0
32,0,7860,0,0
28,1,7380,0,0
37,0,7970,0,0
46,1,6190,1,0
57,1,7380,0,0
25,0,4265,0,0
63,1,7970,0,0
57,0,7860,0,0
57,0,3390,0,0
33,0,9770,0,0
49,1,9470,0,0
34,0,8191,1,0
37,0,7860,0,0
48,0,8270,0,0
70,1,3390,1,0
37,0,5190,0,0
53,1,9590,1,0
66,1,8270,1,0
67,1,770,1,0
57,0,4670,1,0
44,1,7390,0,0
41,1,6490,0,0
64,1,7870,1,0
28,1,3390,0,0
54,1,2070,1,0
34,0,8170,1,0
56,1,7860,1,0
25,0,7290,0,0
50,1,7870,0,0
69,1,6992,0,0
35,1,7280,0,0
31,1,7870,1,0
47,1,3570,1,0
37,0,7490,1,0
28,0,9180,0,0
45,1,7670,0,0
66,1,770,0,0
27,0,4971,0,0
63,1,3380,1,0
47,1,3390,0,0
33,0,7390,0,0
39,1,5580,0,0
34,1,3370,0,0
29,1,770,0,0
67,1,7290,1,0
41,1,7890,1,0
37,1,7071,0,0
44,1,9470,0,0
40,0,7280,0,0
33,1,9670,0,0
63,1,7860,1,0
36,1,7380,1,0
39,1,6672,0,0
31,0,8191,1,0
28,0,9590,0,0
45,1,9570,1,0
56,0,7390,0,0
44,1,6991,0,0
32,1,490,0,0
26,0,7860,1,0
53,1,7380,0,0
54,1,3390,1,0
56,1,6670,0,0
69,1,4470,0,0
50,0,9470,0,0
62,0,7860,1,0
60,1,7290,1,0
51,0,7860,0,0
53,1,770,0,0
53,0,6970,0,0
57,0,7490,0,0
29,1,6570,1,0
53,0,3380,0,0
35,1,9690,0,0
60,1,6970,1,0
56,1,7390,0,0
55,1,7380,0,0
62,0,3095,1,0
55,1,6680,0,0
38,1,7071,0,0
59,1,2890,0,0
34,0,7890,0,0
36,1,6070,0,0
33,1,2570,0,0
30,1,770,0,0
32,0,7290,1,0
44,0,6991,0,0
34,0,7860,1,0
28,0,6770,0,0
37,1,3390,1,0
70,1,3580,0,0
51,1,6670,0,0
59,1,770,0,0
32,0,3390,0,0
33,0,770,1,0
49,0,6670,1,0
51,0,6970,0,0
47,0,7680,0,0
32,1,4795,0,0
28,0,9680,0,0
31,0,8680,1,0
31,1,8680,0,0
34,1,4080,0,0
32,0,6970,0,0
61,1,7870,1,0
46,1,7990,0,0
42,1,8690,0,0
54,1,7860,0,0
34,1,8590,0,0
27,0,8380,0,0
47,1,7460,0,0
54,1,9370,0,0
32,1,7870,0,0
69,1,8191,1,0
68,0,9490,1,0
63,0,7270,0,0
47,1,9590,0,0
28,0,7870,1,0
38,1,6570,0,0
66,0,8680,0,0
51,1,6670,0,0
48,1,7860,1,0
55,1,8770,1,0
46,1,3960,1,0
41,1,7680,0,0
39,0,7860,1,0
44,1,6970,0,0
31,1,9690,1,0
58,0,5381,0,0
60,1,9590,0,0
52,1,9470,0,0
26,0,4270,0,0
27,0,7380,0,0
53,1,7380,0,0
26,0,7290,0,0
28,0,7380,0,0
27,0,7380,0,0
60,1,6680,1,0
29,0,3990,1,0
48,0,7390,0,0
35,0,7470,0,0
38,1,9470,1,0
49,1,7570,1,0
30,1,8690,0,0
33,1,170,0,0
32,1,6890,0,0
39,1,3990,0,0
30,0,6672,0,0
52,0,7860,1,0
64,1,1370,0,0
63,1,3580,1,0
42,1,9690,1,0
48,0,5593,0,0
32,0,3390,1,0
36,0,5593,0,0
36,0,4195,1,0
57,0,5391,0,0
46,1,9370,1,0
67,0,8191,1,0
31,1,7680,0,0
50,1,9470,1,0
52,1,9160,1,0
27,0,770,0,0
35,1,6970,0,0
36,1,8680,0,0
25,1,5381,0,0
52,0,7860,0,0
52,1,7860,0,0
31,1,7390,1,0
32,1,7470,0,0
57,1,7470,0,0
34,0,170,1,0
52,1,9160,1,0
48,1,7470,1,0
59,1,8180,0,0
37,0,1370,0,0
36,1,2290,1,0
53,1,7860,1,0
38,1,7071,0,0
31,1,2170,0,0
28,0,6670,0,0
66,1,7490,0,0
26,1,7870,0,0
58,1,1370,1,0
27,0,8590,0,0
56,1,7380,1,0
47,1,7370,0,0
31,0,7290,0,0
43,1,7380,0,0
25,0,7790,0,0
61,1,8191,0,0
66,0,9370,0,0
43,1,7071,0,0
62,1,7860,0,0
45,1,770,0,0
56,1,5593,0,0
62,1,3370,1,0
47,1,7860,1,0
64,1,7460,0,0
47,1,7860,0,0
53,1,9160,0,0
27,1,6080,0,0
30,0,7860,0,0
30,1,7280,0,0
47,1,7380,0,0
58,1,7380,1,0
56,1,6570,0,0
64,1,8191,0,0
30,1,6570,0,0
29,0,7390,1,0
29,0,3390,0,0
27,0,5391,1,0
37,1,7590,0,0
49,0,770,0,0
37,0,6672,0,0
50,1,6570,1,0
38,1,7290,0,0
41,1,6970,0,0
49,0,8180,1,0
50,1,7460,0,0
33,1,8191,0,0
33,0,7290,0,0
47,1,7071,0,0
68,1,3370,0,0
38,1,670,0,0
30,1,7690,0,0
31,1,9170,1,0
57,1,770,0,0
62,1,9590,0,0
35,1,8370,1,0
41,1,7870,0,0
54,0,3960,1,0
47,1,9160,1,0
44,0,8660,0,0
27,0,7270,0,0
61,0,4585,0,0
43,1,3390,0,0
